bote,"woven basket carried on the back by a strap,often around the forehead","agriculture - equipment,household"
nuu laloir,young coconut (with milk and little meat),plant parts
nuu nurak,young coconut (with milk and little meat),plant parts
tahan1,leaf,plant parts
tubun,"sprout,shoot",plant parts
tutun,"point,end,tip; top,peak,summit",plant parts
namlaik,"wither,withered,wilt,wilted",plant processes
ai1,"plant,tree; wood,timber,stick,twig","plants,building materials and equipment"
au betun,"large variety of bamboo; it is split and used to make walls,flooring and beds","plants,building materials and equipment"
duut manulain,kind of long grass used for thatch,"plants,building materials and equipment"
ai farina boraixa,"kind of large cassava,often planted as a 'living fence' around gardens; it can be eaten if one is hungry","plants,food"
ai manas boot,capsicum,"plants,food"
cenke,cloves,"plants,food"
kaijú,cashew,"plants,food"
lena,sesame,"plants,food"
maek fuik,"wild kind of elephant foot yam,which is very itchy","plants,food"
maek maus,kind of elephant foot yam which is not itchy,"plants,food"
bakmoru,"a kind of tree,the bark of which is boiled and the water drunk as a malaria preventative","plants,medicines"
bua,"betel nut,areca","plants,tradition"
au,bamboo,"plants,water and sanitation,building materials and equipment"
ai boraixa,rubber tree,plants
ai bubur,"gum tree,eucalyptus",plants
ai bubur mutin,"white gum tree,eucalyptus",plants
ai daak,"a tree with succulent fruit much like a lychee,that has a hard thin peel,watery flesh and seeds inside",plants
ai diik,flame tree,plants
ai dila fatuk,Indian bael,plants
ai funan jirasól,sunflower,plants
ai funan mutin,"chromalema,Siam weed",plants
ai funan roza,rose,plants
ai funan surtahan,bouganvillea,plants
ai hanek,kind of tree; the bark is boiled to make bitter medicine for malaria,plants
ai huun,tree trunk; base of tree,plants
ai kafé,"leuceana (coffee shade tree,used for firewood,edible pods,fodder)",plants
ai kakeu,"casuarina,she-oak",plants
ai kameli,sandalwood,plants
ai lele,kapok tree,plants
ai look,jujube tree (kind of tree with small thorns and small sweet edible fruit),plants
ai maran,"firewood,dry wood",plants
ai marungi,moringa tree (has small edible leaves),plants
ai naa,"redwood,rosewood",plants
ai samtuku,Albizia tree (tall leguminous tree used to shade coffee plantations),plants
ai tarak,"thorn,spine",plants
ai teka,teak (tree),plants
akadiru,lontar palm,plants
batar lais,short-season corn with small cobs,plants
bee teen,moss,plants
been,"liquid,sap,juice",plants
dikin,"sprout,shoot,tip of plant including young leaves",plants
fafulu,kind of fine bamboo,plants
hali,banyan tree,plants
hare,"rice plant,unhusked rice",plants
hare oan,rice seedling,plants
hare rai maran,upland rice,plants
huun,"tree; base,origin,source,bottom; (a person's) roots; root (of a problem...)",plants
kafé huun,coffee tree,plants
kakau,"cocoa,cacao",plants
kamii,candlenut,plants
karambola,"starfruit,carambola,five-corner fruit",plants
maria moedór,sensitive plant,plants
palma,palm (tree),plants
ramus,kind of palm,plants
rotan,rattan (used for making furniture),plants
roza,rose,plants
samtuku,Albizia tree (tall leguminous tree used to shade coffee plantations),plants
tabaku,tobacco,plants
tali balanda,sisal (used for making ropes),plants
tua metan,"arenga-palm (used to make palm wine,brooms,thatch)",plants
marxa,march,"police - other,army - other"
rekrutamentu,recruitment,"police - other,army - other"
serka,"surround,encircle (for military/police objectives); besiege","police - other,army - other"
investigasaun,"investigation,research","police - other,law - other"
intimidasaun,intimidation,"police - other,violence"
violénsia doméstika,domestic violence,"police - other,violence"
aljema,handcuffs,police - other
atua,"intervene in,carry out (esp. police,military and court duties),act,take action",police - other
deskonyesidu,unidentified (culprit),police - other
eskuadra polísia,police station,police - other
insidente,incident,police - other
kaderneta,report book (in which a student's results are all recorded),police - other
kantor polisi,police station,police - other
kapturasaun,"capture,arrest",police - other
komisáriu/a,commissioner,police - other
kontinénsia,salute,police - other
patrolya,patrol,police - other
revista2,"inspect,check,search (by authorities)",police - other
ronda,patrol,police - other
elementu,"underling (esp. within police,army,martial arts,youth groups)","police - people,army - people"
adjuntu komandante,deputy commander,"police - people,profession"
eskoltu,bodyguard,"police - people,profession"
intervistadór/a,interviewer,"police - people,profession"
kadete,(police) cadet,"police - people,profession"
Akademia Polísia,Police Academy,police - people
PNTL,East Timorese Police Force,police - people
Polísia Nasionál de Timor Leste,National Police of Timor Leste,police - people
superintendente,superintendent,police - people
terorista,terrorist,police - people
visi komandante,deputy commander,police - people
avaliasaun,"evaluation,assessment",police - training
relasaun internasionál,international relations,"politics - other,education - subject"
amnistia,amnesty,"politics - other,law - other"
direitu,"right (to do something),entitlement; (study of the) law","politics - other,law - other"
justisa,justice; legal judgement,"politics - other,law - other"
rejimi,regime,"politics - other,law - other"
inu nasionál,national anthem,"politics - other,music"
responsavel,"head person,person in charge","politics - other,profession"
diskursu,speech (mainly policital),"politics - other,speaking"
dato,"a level of traditional ruler,below the loro","politics - other,tradition,profession"
rezisténsia,resistance (especially the resistance movement during the Indonesian occupation); resistance (to disease); stamina,"politics - other,violence"
asembleia,assembly,politics - other
ativista,activist,politics - other
autonomia,autonomy,politics - other
bandeira,flag,politics - other
bankada,(political) bench,politics - other
deklarasaun independénsia unilaterál,unilateral declaration of indepence (made by Timor on 28 November 1975),politics - other
delegadu/a,"delegate,representative",politics - other
delegasaun,delegation,politics - other
demo,(political) demonstration,politics - other
demokrasia,democracy,politics - other
demokrátiku/a,democratic,politics - other
demonstrasaun,demonstration,politics - other
desentraliza,decentralise,politics - other
desentralizasaun,decentralisation,politics - other
diplomasia,diplomacy,politics - other
diplomata,diplomat,politics - other
diplomátiku/a,diplomatic,politics - other
diskriminasaun,discrimination,politics - other
ditadór,dictator,politics - other
ditadura,dictatorship,politics - other
eleisaun,"election,the polls",politics - other
eleitorál,electoral,politics - other
embaixada,embassy,politics - other
embaixadór/a,ambassador,politics - other
estadu1,the state,politics - other
ezekutivu,executive,politics - other
frente,(political) front,politics - other
frente diplomátika,diplomatic front (of the resistance movement),politics - other
frente klandestina,clandestine front (of the resistance movement),politics - other
gabinete,cabinet (in politics),politics - other
golpe de estadu,coup d'état,politics - other
hamonu,"drop; depose; overthrow,bring down (government)",politics - other
hanehan,press with hand or finger; oppress,politics - other
ideolojia,ideology,politics - other
independénsia,independence,politics - other
independenti,independent,politics - other
integrasaun,integration,politics - other
internasionál,international,politics - other
kampanya1,campaign; political rally,politics - other
kandidatu,candidate,politics - other
kapitál,capital (city),politics - other
kargu,"position of responsibility,post,office,duties",politics - other
kartaun eleitorál,voter registration card,politics - other
KKN1,"bribery,corruption,nepotism,fraud",politics - other
klandestina,"clandestine operations,underground",politics - other
koligasaun,coalition (political),politics - other
kolonialista,colonialist,politics - other
kolonializmu,colonialism,politics - other
komisaun,committee; commission,politics - other
kompeténsia,"mandate,authority",politics - other
komunista,communist,politics - other
kongresu,"congress,conference",politics - other
konselyu,council,politics - other
konsolidasaun,consolidation,politics - other
korupsaun,corruption,politics - other
kuorum,quorum,politics - other
lejizlativu/a,legislative,politics - other
lider,political leader,politics - other
lideransa,"leadership; leadership team,leaders",politics - other
manifestasaun,(political) demonstration,politics - other
manobra,scheme,politics - other
militante,card-holding party member,politics - other
nasionalizmu,nationalism,politics - other
negosiasaun,negotiation,politics - other
nepotizmu,"nepotism,cronyism",politics - other
obras públikas,public works,politics - other
opozisaun,opposition,politics - other
orgaun,organ (institution),politics - other
orgaun soberania,"organ of state,sovereign institution",politics - other
partidu,(political) party,politics - other
partidu polítiku,political party,politics - other
plataforma,"(political) platform; (gas) platform,oil rig",politics - other
plenáriu/a,plenary session,politics - other
podér,"power,might",politics - other
polítiku/a,political,politics - other
populasaun,"population,residents",politics - other
povu,"the people,the common people,civilians,the public",politics - other
prezidensiál,presidential,politics - other
propaganda,propaganda,politics - other
referendum,referendum,politics - other
reinu,,politics - other
reprezenta,"represent,on behalf of",politics - other
reprezentante,representative,politics - other
repúblika,republic,politics - other
republikanu,republican,politics - other
semi-prezidensiál,semi-presidential,politics - other
sensus,census,politics - other
sentraliza,centralise,politics - other
sentralizasaun,centralisation,politics - other
sidadaun,citizen,politics - other
simpatizante,"sympathiser,supporter",politics - other
soberania,sovereignty,politics - other
sosialista,socialist,politics - other
ukun,"rule,govern",politics - other
unilaterál,unilateral,politics - other
vota,v-ba. vote,politics - other
votante,voter,politics - other
votasaun,"vote,ballot; voting",politics - other
votu,(one person's) vote,politics - other
toos nain,farmer (who works a toos 'garden'),"profession,agriculture - people"
bibi atan,"goatherd,shepherd","profession,animals - people"
espiaun,spy,"profession,army - people"
intel,"intelligence agent,spy (mainly for Indonesia)","profession,army - people"
tentara,"(Indonesian) soldier,army","profession,army - people"
badaen,tradesman,"profession,building - people"
badaen ai,carpenter,"profession,building - people"
badaen fatuk,"bricklayer,person who lays foundations,stonemason","profession,building - people"
eletrisista,electrician,"profession,building - people"
karpinteiru,carpenter,"profession,building - people"
alfaiate,tailor,"profession,clothes - other"
padeiru,baker,"profession,cooking - other"
bendahara,treasurer,"profession,economics"
emprezáriu/a,"businessperson,businessman,businesswoman","profession,economics"
tezoureiru/a,treasurer,"profession,economics"
diretór/-ora eskola,"school principal,headmaster,headmistress","profession,education - other"
alunu/a,"pupil,student (especially school)","profession,education - people"
eskola oan,school student (especially primary school),"profession,education - people"
estudante,student (especially university),"profession,education - people"
administradór/a,administrator (especially within local government),"profession,government"
prezidenti,president,"profession,government"
sekretáriu/a jerál,secretary-general,"profession,government"
