bote  ,"n. woven basket carried on the back by a strap, often around the forehead. ","Category: agriculture - equipment, household."
tuun  ,"v. descend, go down, decline, drop; get off, get out of (a vehicle); down, downward. ",Category: motion.
volta  ,v. (fila) turn. ,Category: motion.
múzika  ,n. music; song. ,"Category: music, education - subject."
instrumentu  ,"n. instrument; implement, tool. ","Category: music, health - equipment."
rádiu  ,n. radio. ,"Category: music, household."
apitu  ,n. (metal/plastic) whistle. ,"Category: music, sport."
afina  ,"vt. adjust (a dial), tune (car, a musical instrument). ","Category: music, tools - processes."
stik  ,"n. drumstick, baton. ","Category: music, weapons."
AM  ,n. AM (radio). ,Category: music.
babadook  ,n. traditional drum carried by women. ,Category: music.
banda múzika  ,n. (music) band. ,Category: music.
ben  ,n. (musical) band. ,Category: music.
CD  ,"n. CD, compact disk. ",Category: music.
DVD  ,n. DVD. ,Category: music.
estúdiu  ,n. studio. ,Category: music.
flauta  ,"n. flute, recorder. ",Category: music.
FM  ,n. FM (radio). ,Category: music.
gaita  ,n. mouthorgan. ,Category: music.
jáz  ,n. jazz (music). ,Category: music.
kantór  ,n. singer. ,Category: music.
kaseti  ,"n. cassette, tape. ",Category: music.
konjuntu  ,n. (music) band. ,Category: music.
konsertu  ,n. concert. ,Category: music.
korneta  ,n. trumpet-like horn. ,Category: music.
koru  ,n. choir. ,Category: music.
mikro  ,n. microphone. ,Category: music.
mikrofoni  ,n. microphone. ,Category: music.
organ  ,n. 1 • organ (musical instrument). ,Category: music.
palku  ,"n. stage (for performance, speeches), platform. ",Category: music.
pianu  ,"n. piano, keyboard. ",Category: music.
pop  ,pop (music). ,Category: music.
rabeka  ,n. violin. ,Category: music.
ref  ,"n. refrain, chorus. ",Category: music.
refraun  ,"n. refrain, chorus. ",Category: music.
reggae  ,n. reggae. ,Category: music.
rock  ,n. rock (music). ,Category: music.
tambór  ,n. drum (musical). ,Category: music.
toka  ,"vt. play music (e.g. piano, guitar), strum; play in a band. ",Category: music.
toka door  ,n. musician. ,Category: music.
viola1  ,n. guitar. ,Category: music.
viola talin  ,n. guitar string. ,Category: music.
violinu  ,n. violin. ,Category: music.
Amérika  ,np. America; American. ,"Category: nations, continents."
Austrália  ,np. Australia; Australian. ,"Category: nations, continents."
Judeu  ,np. Jew; Jewish. ,"Category: nations, religion - other."
Áfrika Súl  ,np. South Africa. ,Category: nations.
Alemanya  ,np. Germany; German. ,Category: nations.
Angola  ,n. Angola. ,Category: nations.
Arábia  ,np. Arabia. ,Category: nations.
Arjentina  ,n. Argentina. ,Category: nations.
Áustria  ,np. Austria; Austrian. ,Category: nations.
Ázia  ,np. Asia; Asian. ,Category: nations.
Birma  ,np. Burma; Burmese. ,Category: nations.
Birmánia  ,np. Burma; Burmese. ,Category: nations.
Brazíl  ,np. Brazil; Brazilian. ,Category: nations.
Brazileiru/a  ,n. Brazilian. ,Category: nations.
Bulgária  ,n. Bulgaria; Bulgarian. ,Category: nations.
Ebraiku  ,n. Hebrew (language). ,Category: nations.
Ebreu  ,n. Hebrew. ,Category: nations.
Ejitu  ,np. Egypt; Egyptian. ,Category: nations.
Espanya  ,np. Spanish. ,Category: nations.
Espanyól  ,adj. Spanish. ,Category: nations.
Estadus Unidus  ,"np. the United States (of America), US. ",Category: nations.
EUA  ,np. USA. ,Category: nations.
Europa  ,np. Europe; European. ,Category: nations.
Filipina  ,np. the Philippines. ,Category: nations.
Filipinas  ,np. the Philippines. ,Category: nations.
Fransa  ,np. France; French. ,Category: nations.
Giné-Bisau  ,np. Guinea-Bissau. ,Category: nations.
Gregu  ,adj. Greek. ,Category: nations.
Grésia  ,n. Greece. ,Category: nations.
Hong Kong  ,np. Hong Kong. ,Category: nations.
Índia  ,np. India; Indian. ,Category: nations.
Indonézia  ,np. Indonesia; Indonesian. ,Category: nations.
Inglatera  ,np. England. ,Category: nations.
Irak  ,np. Iraq; Iraqi. ,Category: nations.
Iraki  ,np. Iraq; Iraqi. ,Category: nations.
Iran  ,n. Iran; Iranian. ,Category: nations.
Iraun  ,np. Iran; Iranian. ,Category: nations.
Irlándia  ,np. Ireland; Irish. ,Category: nations.
Itália  ,np. Italy; Italian. ,Category: nations.
Izraél  ,np. Israel; Israeli. ,Category: nations.
Japaun  ,np. Japan; Japanese. ,Category: nations.
Jerman  ,np. Germany; German. ,Category: nations.
Kamboja  ,"np. Cambodia, Kampuchea; Cambodian, Kampuchean. ",Category: nations.
Kanadá  ,np. Canada; Canadian. ,Category: nations.
Koreia  ,np. Korea; Korean. ,Category: nations.
Koreia Norte  ,np. North Korea; North Korean. ,Category: nations.
Koreia Súl  ,np. South Korea; South Korean. ,Category: nations.
Kuba  ,np. Cuba; Cuban. ,Category: nations.
Luzófonu  ,"adj. Lusophone, Portuguese-speaking. ",Category: nations.
Makau  ,np. Macao. ,Category: nations.
Malázia  ,np. Malaysia; Malaysian. ,Category: nations.
Méksiko  ,n. Mexico; Mexican. ,Category: nations.
Melanézia  ,n. Melanesia; Melanesian. ,Category: nations.
Mesir  ,np. Egypt; Egyptian. ,Category: nations.
Méxiku  ,np. Mexico; Mexican. ,Category: nations.
Mosambiki  ,np. Mozambique. ,Category: nations.
Noruega  ,n. Norway; Norwegian. ,Category: nations.
Nova Zelándia  ,np. New Zealand. ,Category: nations.
Olanda  ,"np. the Netherlands, Holland; Dutch. ",Category: nations.
Perancis  ,np. France; French. ,Category: nations.
Portugál  ,np. Portugal; Portuguese. ,Category: nations.
RDTL  ,abbrev. Democratic Republic of East Timor. ,Category: nations.
Reinu Unidu  ,"n. the United Kingdom, UK. ",Category: nations.
Repúblika Demokrátika de Timor Leste  ,n. Democratic Republic of East Timor. ,Category: nations.
Rúsia  ,np. Russia; Russian. ,Category: nations.
Singapura  ,np. Singapore; Singaporean. ,Category: nations.
Suisa  ,np. Switzerland; Swiss. ,Category: nations.
Tailándia  ,np. Thailand; Thai. ,Category: nations.
Timor  ,np. Timor (esp. East Timor); Timorese. ,Category: nations.
Timor Leste  ,np. East Timor; East Timorese. ,Category: nations.
Timor Lorosae  ,np. East Timor; East Timorese. ,Category: nations.
TL  ,abbrev. East Timor. ,Category: nations.
Turkia  ,n. Turkey; Turkish. ,Category: nations.
Uniaun Europeia  ,n. European Union. ,Category: nations.
Uniaun Soviétika  ,n. Soviet Union. ,Category: nations.
Vietnám  ,np. Vietnam; Vietnamese. ,Category: nations.
Xina  ,np. China; Chinese. ,Category: nations.
Yunani  ,"n. Greece, Greek. ",Category: nations.
fitun  ,n. star. ,"Category: nature - other, army - other."
rai1  ,"n. earth, land, region, country; soil, dirt; floor. ","Category: nature - other, building materials and equipment."
rai henek  ,n. sand. ,"Category: nature - other, building materials and equipment."
rai henek mota  ,n. river sand. ,"Category: nature - other, building materials and equipment."
rai henek tasi  ,n. beach sand. ,"Category: nature - other, building materials and equipment."
gruta  ,n. grotto (cave with a shrine of Our Lady). ,"Category: nature - other, religion - other."
lalehan  ,"n. sky, heaven. ","Category: nature - other, religion - other."
fulan  ,n.  ,"Category: nature - other, time."
bee  ,n. water. ,"Category: nature - other, water and sanitation."
bee lihun  ,"n. pool (of water), deep puddle, standing water, billabong. ","Category: nature - other, water and sanitation."
bee matan  ,"n. spring (of water), any place used as a regular source for drinking water. ","Category: nature - other, water and sanitation."
bee moris  ,n. spring (of water). ,"Category: nature - other, water and sanitation."
debu  ,"n. wallow (muddy area in which buffalo or pigs wallow); pond, pool. ","Category: nature - other, water and sanitation."
kolan  ,n. pond. ,"Category: nature - other, water and sanitation."
mota  ,n. river. ,"Category: nature - other, water and sanitation."
mota ain  ,n. river mouth. ,"Category: nature - other, water and sanitation."
mota ibun  ,n. river bank. ,"Category: nature - other, water and sanitation."
mota ninin  ,n. river bank. ,"Category: nature - other, water and sanitation."
mota ulun  ,"n. head of river, source of river. ","Category: nature - other, water and sanitation."
loro1  ,"n. sun; sunlight, the sun's rays. ","Category: nature - other, weather and climate."
mahobeen  ,n. dew. ,"Category: nature - other, weather and climate."
ahi  ,"n. fire, electricity, light. ",Category: nature - other.
ahu ruin  ,n. 1 • (hard) coral. ,Category: nature - other.
britas  ,1 • n. pebble. ,Category: nature - other.
dezastre naturál  ,n. natural disaster. ,Category: nature - other.
fatuk  ,"n. 1 • stone, rock. ",Category: nature - other.
fatuk kuak  ,"n. cave, cavern. ",Category: nature - other.
fatuk lolon  ,"n. rockface, short rocky cliff. ",Category: nature - other.
foho  ,n.  ,Category: nature - other.
foho huun  ,"n. foot, base of mountain. ",Category: nature - other.
foho leten  ,"n. mountaintop, hilltop. ",Category: nature - other.
foho lolon  ,"n. hillside, mountainside. ",Category: nature - other.
foho tutun  ,n. summit. ,Category: nature - other.
fulan mate  ,lunar eclipse. ,Category: nature - other.
fulan nurak  ,new   moon. ,Category: nature - other.
ilya  ,n. island. ,Category: nature - other.
korenti  ,current. ,Category: nature - other.
lalatak  ,n. shadow; reflection. ,Category: nature - other.
laletek  ,n. small area of flattish high ground. ,Category: nature - other.
laloran  ,n. wave (of sea...) ,Category: nature - other.
loro leten  ,n. sky (esp. the height at which birds and planes fly). ,Category: nature - other.
loro matan  ,n. sun. ,Category: nature - other.
loro matan monu  ,sv. sunset. ,Category: nature - other.
loro matan sae  ,sv. sunrise. ,Category: nature - other.
loro mate  ,sv. solar eclipse. ,Category: nature - other.
loro monu  ,sv. sunset. ,Category: nature - other.
loro sae  ,sv. sunrise. ,Category: nature - other.
mahon  ,"n. shade; oversight, protection. ",Category: nature - other.
mota boot  ,"clause. river runs high, river floods. ",Category: nature - other.
mota tuun  ,clause. river flows after rain. ,Category: nature - other.
mundu  ,"n. 1 • world, the earth. ",Category: nature - other.
planeta  ,n. planet. ,Category: nature - other.
posu  ,"n. well (for water, oil, gas...) ",Category: nature - other.
pulau  ,n. island. ,Category: nature - other.
rai fuik  ,n. wilderness. ,Category: nature - other.
rai fuik maran  ,n. desert. ,Category: nature - other.
rai huun  ,"n. foot, base of mountain. ",Category: nature - other.
rai kuak  ,n. hole in the ground. ,Category: nature - other.
rai lolon  ,"n. slope, rise (shallowly-sloping hillside). ",Category: nature - other.
rai mean  ,"n. clay; red dirt, red soil. ",Category: nature - other.
rai monu  ,sv. landslide. ,Category: nature - other.
rai nakdoko  ,sv. earthquake. ,Category: nature - other.
rai naruk  ,"n. cliff, precipice, steep slope. ",Category: nature - other.
rai okos  ,n. underground. ,Category: nature - other.
rai rahun  ,n. dust. ,Category: nature - other.
salju  ,n. snow. ,Category: nature - other.
suar  ,"1 • n. smoke, exhaust, steam. ",Category: nature - other.
tahu  ,n. mud. ,Category: nature - other.
tasi  ,"n. sea, ocean. ",Category: nature - other.
tasi been  ,n. seawater. ,Category: nature - other.
tasi boot  ,sv. rough seas. ,Category: nature - other.
tasi ibun  ,"n. coast, shore, seashore, beach. ",Category: nature - other.
tasi maran  ,low tide. ,Category: nature - other.
tasi nakonu  ,high tide. ,Category: nature - other.
tasi sae  ,"1 • tide comes in, tide rises, rising tide. ",Category: nature - other.
tasi siak  ,"stormy seas, very rough seas. ",Category: nature - other.
